ego,ego_name,alter,alter_name,relation,source
Q5081258,"Charles Noel, 2nd Earl of Gainsborough",Q13530009,Gerard Noel,sibling,panel;rush
Q5081258,"Charles Noel, 2nd Earl of Gainsborough",Q334449,Thomas Fowell Buxton,indirect,rush
Q5081258,"Charles Noel, 2nd Earl of Gainsborough",Q5393618,Ernest Noel,cousin,panel;rush
Q5081258,"Charles Noel, 2nd Earl of Gainsborough",Q5771276,"Sir George Grey, 2nd Baronet",uncle/aunt,rush
Q5081258,"Charles Noel, 2nd Earl of Gainsborough",Q7525995,"Sir Andrew Agnew, 8th Baronet",indirect,rush
Q5081341,Octavius Morgan,Q5081069,"Charles Morgan, 1st Baron Tredegar",sibling,panel
Q5081341,Octavius Morgan,Q5082144,Charles Rodney Morgan,uncle/aunt,panel
Q5081341,Octavius Morgan,Q5497586,Frederick Courtenay Morgan,uncle/aunt,panel
Q5081341,Octavius Morgan,Q5576507,"Godfrey Morgan, 1st Viscount Tredegar",uncle/aunt,panel
Q5081398,Charles Owen O'Conor,Q5257380,Denis Maurice O'Conor,sibling,panel;rush
Q5081398,Charles Owen O'Conor,Q5257434,Denis O'Conor,child;parent,panel;rush
Q5081537,Charles Paul Phipps,Q5081248,Charles N. P. Phipps,parent,panel
Q5081574,Charles Pelham Villiers,Q5345728,"Edward Villiers, 5th Earl of Clarendon",niece/nephew,rush
Q5081606,Charles Peter Allen,Q4797779,Arthur Acland Allen,sibling,rush
Q5081660,"Charles Pierrepont, 4th Earl Manvers",Q16066415,"Charles Evelyn Pierrepont, Viscount Newark",niece/nephew;uncle/aunt,panel;rush
Q5081660,"Charles Pierrepont, 4th Earl Manvers",Q7660092,"Sydney Pierrepont, 3rd Earl Manvers",child;parent,panel;rush
Q5081706,"Charles Ponsonby, 2nd Baron de Mauley",Q4805554,Ashley Ponsonby,sibling,panel
Q5081706,"Charles Ponsonby, 2nd Baron de Mauley",Q6253138,"John Ponsonby, 4th Earl of Bessborough",niece/nephew,panel
Q5081706,"Charles Ponsonby, 2nd Baron de Mauley",Q8016999,"William Ponsonby, 1st Baron de Mauley",child,panel
Q5081967,Charles Reed,Q324276,Edward Baines,indirect,rush
Q5081999,"Charles Rhys, 8th Baron Dynevor",Q7965958,"Walter Rice, 7th Baron Dynevor",child;parent,panel;rush
Q5082144,Charles Rodney Morgan,Q5081069,"Charles Morgan, 1st Baron Tredegar",child,panel
Q5082144,Charles Rodney Morgan,Q5081341,Octavius Morgan,niece/nephew,panel
Q5082144,Charles Rodney Morgan,Q5497586,Frederick Courtenay Morgan,sibling,panel
Q5082144,Charles Rodney Morgan,Q5576507,"Godfrey Morgan, 1st Viscount Tredegar",sibling,panel
Q5082203,"Charles Royle, Baron Royle",Q5082204,Charles Royle,parent,rush
Q5082204,Charles Royle,Q5082203,"Charles Royle, Baron Royle",child,rush
Q5082366,Charles Savile Roundell,Q8000141,"Wilbraham Tollemache, 2nd Baron Tollemache",indirect,rush
Q5082424,Charles Seale-Hayne,Q21548658,John Seale,grandparent,rush
Q5082431,Charles Seely,Q11802791,"Hugh Seely, 1st Baron Sherwood",indirect,rush
Q5082431,Charles Seely,Q6105456,"John Seely, 1st Baron Mottistone",grandchild;grandparent,panel;rush
Q5082431,Charles Seely,Q7526292,"Sir Charles Seely, 1st Baronet",child;parent,panel;rush
Q5082431,Charles Seely,Q7526294,"Sir Charles Seely, 2nd Baronet",grandchild;grandparent,panel;rush
Q5082556,Charles Smith Forster,Q7526208,"Sir Charles Forster, 1st Baronet",child,rush
Q5082570,"Charles Somers-Cocks, 3rd Earl Somers",Q11762579,Lord Henry Somerset,indirect,rush
Q5082570,"Charles Somers-Cocks, 3rd Earl Somers",Q6258484,"John Somers-Cocks, 2nd Earl Somers",child;parent,panel;rush
Q5082737,"Charles Stuart-Wortley, 1st Baron Stuart of Wortley",Q6143798,James Stuart-Wortley,child,panel
Q5082737,"Charles Stuart-Wortley, 1st Baron Stuart of Wortley",Q6235315,John Gilbert Talbot,cousin,panel;rush
Q5082737,"Charles Stuart-Wortley, 1st Baron Stuart of Wortley",Q6259508,"John Stuart-Wortley, 2nd Baron Wharncliffe",niece/nephew,panel
Q50828546,"Sir John Power, 3rd Baronet",Q26695991,"Sir James Power, 2nd Baronet",child,panel
Q5082918,Charles Thomas Mills,Q4799734,"Arthur Mills, 3rd Baron Hillingdon",sibling,panel
Q5082918,Charles Thomas Mills,Q5080952,"Charles Mills, 1st Baron Hillingdon",grandchild;grandparent,panel;rush
Q5082918,Charles Thomas Mills,Q5080955,"Charles Mills, 2nd Baron Hillingdon",child;parent,panel;rush
Q5083069,Charles Tyrrell Giles,Q4722730,Alfred Giles,child;parent,panel;rush
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q3087168,"Frederick Stewart, 4th Marquess of Londonderry",niece/nephew;uncle/aunt,panel;rush
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q333368,"Charles Vane-Tempest-Stewart, 7th Marquess of Londonderry",child;parent,panel;rush
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q5261284,"George Vane-Tempest, 5th Marquess of Londonderry",child;parent,panel;rush
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q6678890,Lord Adolphus Vane-Tempest,niece/nephew,panel
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q7352839,"Robin Vane-Tempest-Stewart, 8th Marquess of Londonderry",grandchild;grandparent,panel;rush
Q5083121,"Charles Vane-Tempest-Stewart, 6th Marquess of Londonderry",Q7983009,"Wentworth Beaumont, 1st Viscount Allendale",indirect,rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q11800905,John Tremayne,indirect,rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q12072266,"Henry Vivian, 1st Baron Swansea",cousin,panel;rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q3787726,"Hussey Vivian, 1st Baron Vivian",child;parent,panel;rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q4800546,Arthur Vivian,cousin,panel;rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q6227494,John Vivian,sibling,panel;rush
Q5083146,"Charles Vivian, 2nd Baron Vivian",Q6238967,John Henry Vivian,niece/nephew;uncle/aunt,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q26254028,"William Wentworth-Fitzwilliam, Viscount Milton",sibling,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",child;parent,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q5546159,George Wentworth-FitzWilliam,sibling,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q5730014,Henry Wentworth-FitzWilliam,niece/nephew;uncle/aunt,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q6263500,John Wentworth-FitzWilliam,niece/nephew;uncle/aunt,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q7614395,"William Wentworth-Fitzwilliam, 7th Earl Fitzwilliam",indirect,rush
Q5083442,Charles Wentworth-FitzWilliam,Q8020193,"William Wentworth-FitzWilliam, Viscount Milton",niece/nephew;uncle/aunt,panel;rush
Q5083442,Charles Wentworth-FitzWilliam,Q8020195,"William Wentworth-Fitzwilliam, 6th Earl Fitzwilliam",sibling,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q26254028,"William Wentworth-Fitzwilliam, Viscount Milton",child;parent,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q5083442,Charles Wentworth-FitzWilliam,child;parent,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q5546159,George Wentworth-FitzWilliam,child;parent,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q5730014,Henry Wentworth-FitzWilliam,grandchild;grandparent,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q6263500,John Wentworth-FitzWilliam,grandchild;grandparent,panel;rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q7614395,"William Wentworth-Fitzwilliam, 7th Earl Fitzwilliam",indirect,rush
Q5083446,"Charles Wentworth-Fitzwilliam, 5th Earl Fitzwilliam",Q8020193,"William Wentworth-FitzWilliam, Viscount Milton",grandchild;grandparent,panel;rush
