politician_id,politician_name,rushid,has_relative,n_relatives_detected,multiple_relatives,closeness,relation_types,relative_chamber,peerage_linked_flag,relative_sources,relative_examples
Q7609180,Stephen Farry,10205,0,0,0,,,,0,,
Q7609300,Stephen Gaselee,4070,0,0,0,,,,0,,
Q7609334,Stephen Goodwin Howard,8250,0,0,0,,,,0,,
Q7609373,Stephen Gwynn,4207,0,0,0,,,,1,,
Q7609437,Stephen Hastings,8897,0,0,0,,,,1,,
Q7609475,Stephen Hesford,352,0,0,0,,,,0,,
Q7609686,Stephen King-Hall,4601,0,0,0,,,,1,,
Q7609739,Stephen Ladyman,422,0,0,0,,,,0,,
Q7609831,Stephen Lushington,4787,1,1,0,sibling,sibling,HoC,1,panel;rush,Charles Lushington
Q7609917,Stephen Mason,2580,1,1,0,parent,parent;child,HoC,0,panel;rush,David Marshall Mason
Q7609933,Stephen McAdden,4821,0,0,0,,,,0,,
Q7610020,Stephen Moore,7049,0,0,0,,,,1,,
Q7610101,Stephen Furness,8251,1,1,0,parent,parent;child,HoC,1,panel;rush,"Sir Stephen Furness, 1st Baronet"
Q7610126,Stephen O'Mara,2698,1,1,0,parent,parent;child,HoC,0,panel;rush,James O'Mara
Q7610406,"Stephen Ross, Baron Ross of Newport",8898,0,0,0,,,,1,,
Q7610415,Stephen Roxby Dodds,8252,0,0,0,,,,0,,
Q7610422,Stephen Rumbold Lushington,4788,1,1,0,parent,parent;child,HoC,1,panel;rush,Charles Manners Lushington
Q7610628,Stephen Swingler,5939,0,0,0,,,,0,,
Q7610803,Stephen Walsh,8249,0,0,0,,,,0,,
Q7610865,Stephen Williamson,1062,1,1,0,parent,parent;child,HoC,1,panel;rush,"Archibald Williamson, 1st Baron Forres"
Q7610927,Stephen de Vere,3708,0,0,0,,,,1,,
Q7613711,Steve Reed,10079,0,0,0,,,,0,,
Q7613861,"William Legge, 5th Earl of Dartmouth",9024,1,4,1,parent,parent;child;sibling;grandparent;grandchild;indirect,HoC,1,panel;rush,"Heneage Finch, 6th Earl of Aylesford;Heneage Legge;William Legge, 6th Earl of Dartmouth;William Legge, 7th Earl of Dartmouth"
Q76139,Gerry Adams,41,0,0,0,,,,0,,
